entity_id,entity_name,entity_type,source
U60231AS2011PTC010758,LACHIT TRANSPORT PRIVATE LIMITED,COMPANY,companies_registry
U60210AS1989PTC002492,ASSAM HAULIERS PVT LTD,COMPANY,companies_registry
U60210AS1995PTC004424,BORDOI CHILA TRANSPORT PVT LTD,COMPANY,companies_registry
U45309AS1998PTC005437,BIG BID CONSSTRUCTION PVT LTD,COMPANY,companies_registry
U45309AS2016PTC017453,DEE AND A SOLUTIONS PRIVATE LIMITED,COMPANY,companies_registry
U60230AS2015PTC012103,NORTHEAST STAR COMMUNICATION PRIVATE LIMITED,COMPANY,companies_registry
U45309AS2018PTC018623,AJVJ INFRATRADE PRIVATE LIMITED,COMPANY,companies_registry
U60231AS1997PTC005253,KAMRUP KAMAKHYA BUSINESS PVT LTD,COMPANY,companies_registry
U45309AS2021PTC021200,LAIJOU INFRA ENGINEERING PRIVATE LIMITED,COMPANY,companies_registry
U45309AS2022PTC022863,ASTHALAKSHMI CONSTRUCTIONS PRIVATE LIMITED,COMPANY,companies_registry
U61104AS2023PTC025153,AGRTELECOM TECHNOLOGIES PRIVATE LIMITED,COMPANY,companies_registry
U45400AS2009PTC009249,PURVANCHAL INFRA AND INDUSTRIES PRIVATE LIMITED,COMPANY,companies_registry
